Time (s)	Frequency Intensity
15.20	5955.77
15.23	5846.81
15.27	5978.50
15.30	5922.36
15.33	5842.83
15.37	5915.94
15.40	5972.44
15.43	5946.54
15.47	5826.28
15.50	5927.88
15.53	5919.46
15.57	5854.38
15.60	5843.40
15.63	5905.30
15.67	5936.97
15.70	5785.77
15.73	5968.49
15.77	5964.87
15.80	5857.07
15.83	6820.07
15.87	6333.79
15.90	6086.45
15.93	5840.77
15.97	5982.33
16.00	5871.34
16.03	5801.19
16.07	5899.36
16.10	5888.25
16.13	5836.81
16.17	5759.63
16.20	5934.36
16.23	5881.70
16.27	5846.63
16.30	5980.91
16.33	5947.05
16.37	5907.35
16.40	5872.23
16.43	6017.81
16.47	5969.77
16.50	5905.76
16.53	6006.45
16.57	6015.84
16.60	6010.72
16.63	5999.65
16.67	7146.73
16.70	6494.31
16.73	6226.24
16.77	6229.78
16.80	6135.23
16.83	6016.18
16.87	6024.30
16.90	6249.68
16.93	6138.30
16.97	6165.58
17.00	6238.01
17.03	6184.77
17.07	6177.09
17.10	6117.33
17.13	6324.98
17.17	6148.71
17.20	6188.46
17.23	6190.37
17.27	6172.55
17.30	6225.67
17.33	6141.45
17.37	6288.40
17.40	6230.93
17.43	6216.97
17.47	6279.51
17.50	7239.11
17.53	6638.05
17.57	6431.44
17.60	6418.98
17.63	6272.21
17.67	6195.97
17.70	6258.51
17.73	6175.77
17.77	6157.83
17.80	6162.83
17.83	6229.33
17.87	6145.79
17.90	6162.83
17.93	6175.29
17.97	6204.16
18.00	6084.78
18.03	6107.95
18.07	6160.20
18.10	6020.92
18.13	6021.42
18.17	6114.25
18.20	6092.28
18.23	6025.02
18.27	5975.16
18.30	6030.26
18.33	6866.73
18.37	6389.71
18.40	6179.28
18.43	6074.95
18.47	6047.65
18.50	5915.73
18.53	5990.80
18.57	5952.49
18.60	5934.14
18.63	5888.00
18.67	5926.52
18.70	5873.36
18.73	5788.02
18.77	5815.05
18.80	5697.30
18.83	5731.20
18.87	5719.67
18.90	5705.62
18.93	5677.12
18.97	5661.15
19.00	5730.23
19.03	5619.97
19.07	5614.83
19.10	5725.87
19.13	5661.35
19.17	6530.99
19.20	6035.23
19.23	5892.31
19.27	5729.54
19.30	5668.04
19.33	5716.03
19.37	5569.33
19.40	5549.33
19.43	5461.31
19.47	5610.02
19.50	5557.15
19.53	5590.36
19.57	5664.52
19.60	5616.70
19.63	5553.99
19.67	5453.39
19.70	5631.45
19.73	5595.34
19.77	5570.24
19.80	5605.96
19.83	5582.37
19.87	5580.92
19.90	5591.66
19.93	5690.68
19.97	5679.76
20.00	6932.05
20.03	6211.05
20.07	5849.25
20.10	5664.41
20.13	5425.24
20.17	5498.84
20.20	5492.08
20.23	5508.49
20.27	5557.81
20.30	5604.96
20.33	5636.10
20.37	5511.17
20.40	5714.32
20.43	5740.58
20.47	5708.43
20.50	5824.58
20.53	5818.48
20.57	5826.25
20.60	5717.39
20.63	5989.34
20.67	5949.21
20.70	5906.14
20.73	6099.17
20.77	6098.77
20.80	6116.58
20.83	6755.96
20.87	6334.32
20.90	6113.02
20.93	5917.79
20.97	5867.40
21.00	5840.14
21.03	5818.41
21.07	5773.99
21.10	5767.24
21.13	5895.76
21.17	5869.77
21.20	5938.37
21.23	5926.18
21.27	5986.71
21.30	5890.91
21.33	6001.22
21.37	6006.42
21.40	5915.02
21.43	5992.33
21.47	5981.29
21.50	6118.57
21.53	5991.05
21.57	5978.58
21.60	6109.39
21.63	6026.98
21.67	7055.60
21.70	6605.99
21.73	6464.53
21.77	6356.00
21.80	6243.31
21.83	6208.33
21.87	6173.02
21.90	6183.77
21.93	6247.52
21.97	6214.41
22.00	6245.13
22.03	6287.75
22.07	6263.74
22.10	6212.07
22.13	6169.60
22.17	6197.72
22.20	6176.90
22.23	6091.16
22.27	6207.19
22.30	6191.17
22.33	6095.47
22.37	6116.27
22.40	6154.17
22.43	6179.15
22.47	6089.64
22.50	7145.53
22.53	6670.64
22.57	6373.26
22.60	6276.23
22.63	6207.95
22.67	6192.07
22.70	6063.02
22.73	6066.18
22.77	6115.74
22.80	6045.08
22.83	6049.06
22.87	6214.64
22.90	6184.44
22.93	6063.17
22.97	6182.78
23.00	6141.52
23.03	6044.03
23.07	6040.59
23.10	6133.79
23.13	6065.91
23.17	6002.49
23.20	6064.16
23.23	6090.82
23.27	6029.66
23.30	6079.58
23.33	7007.93
23.37	6422.72
23.40	6184.92
23.43	6241.71
23.47	6074.72
23.50	6006.59
23.53	6020.03
23.57	6054.56
23.60	6102.71
23.63	6011.62
23.67	6112.21
23.70	6069.35
23.73	5933.73
23.77	6053.61
23.80	6012.07
23.83	6018.41
23.87	5909.09
23.90	6069.31
23.93	6027.82
23.97	5999.21
24.00	6140.73
24.03	6145.04
24.07	6084.04
24.10	5992.85
24.13	6126.63
24.17	7033.51
24.20	6362.95
24.23	6270.29
24.27	6177.18
24.30	6115.95
24.33	5956.68
24.37	6062.90
24.40	6052.71
24.43	5997.70
24.47	6132.98
24.50	6153.69
24.53	6102.57
24.57	5975.76
24.60	6143.63
24.63	6081.81
24.67	5999.09
24.70	6026.64
24.73	6034.41
24.77	6014.01
