Time (s)	Frequency Intensity
13.93	5654.12
13.97	5688.19
14.00	5769.34
14.03	5775.40
14.07	5803.18
14.10	5669.85
14.13	5618.48
14.17	7236.81
14.20	6231.91
14.23	6013.14
14.27	5922.81
14.30	5834.75
14.33	5871.39
14.37	5758.66
14.40	5776.60
14.43	5826.50
14.47	5860.04
14.50	5750.71
14.53	5727.73
14.57	5754.75
14.60	5685.24
14.63	5632.75
14.67	5611.07
14.70	5585.85
14.73	5640.30
14.77	5702.42
14.80	5868.36
14.83	5806.49
14.87	5913.60
14.90	5823.36
14.93	5803.04
14.97	5768.19
15.00	7343.14
15.03	6226.70
15.07	5879.41
15.10	5761.32
15.13	5638.95
15.17	5686.56
15.20	5615.94
15.23	5637.80
15.27	5793.68
15.30	5737.30
15.33	5866.13
15.37	5840.01
15.40	5866.63
15.43	5832.42
15.47	5709.06
15.50	5752.43
15.53	5659.28
15.57	5597.96
15.60	5599.94
15.63	5621.30
15.67	5604.76
15.70	5682.67
15.73	5687.60
15.77	5843.43
15.80	5807.03
15.83	7208.45
15.87	6416.16
15.90	6014.72
15.93	5755.47
15.97	5709.92
16.00	5568.44
16.03	5531.27
16.07	5601.58
16.10	5550.93
16.13	5596.23
16.17	5710.89
16.20	5695.41
16.23	5785.38
16.27	5800.84
16.30	5732.32
16.33	5840.58
16.37	5857.02
16.40	5734.44
16.43	5760.35
16.47	5665.52
16.50	5655.89
16.53	5710.69
16.57	5628.74
16.60	5792.54
16.63	5809.14
16.67	7478.54
16.70	6567.16
16.73	6199.63
16.77	6021.86
16.80	5939.85
16.83	5775.75
16.87	5793.60
16.90	5690.38
16.93	5643.98
16.97	5638.22
17.00	5626.26
17.03	5610.16
17.07	5686.67
17.10	5762.38
17.13	5838.73
17.17	5793.47
17.20	5753.97
17.23	5802.28
17.27	5776.44
17.30	5712.97
17.33	5646.24
17.37	5510.52
17.40	5463.55
17.43	5549.77
17.47	5542.82
17.50	7299.81
17.53	6358.18
17.57	5943.38
17.60	5871.35
17.63	5823.30
17.67	5821.45
17.70	5923.50
17.73	5786.86
17.77	5828.33
17.80	5714.07
17.83	5671.12
17.87	5655.43
17.90	5555.99
17.93	5508.03
17.97	5552.77
18.00	5565.64
18.03	5631.01
18.07	5741.67
18.10	5761.92
18.13	5773.14
18.17	5699.07
18.20	5717.36
18.23	5727.98
18.27	5673.88
18.30	5625.04
18.33	7075.18
18.37	6090.56
18.40	5759.74
18.43	5712.28
18.47	5703.54
18.50	5674.72
18.53	5698.09
18.57	5676.83
18.60	5760.08
18.63	5698.69
18.67	5621.60
18.70	5656.68
18.73	5602.53
18.77	5621.15
18.80	5592.95
18.83	5554.72
18.87	5553.14
18.90	5544.91
18.93	5559.31
18.97	5705.65
19.00	5728.33
19.03	5804.43
19.07	5798.38
19.10	5813.07
19.13	5807.97
19.17	7220.24
19.20	6273.50
19.23	5997.40
19.27	5789.65
19.30	5773.34
19.33	5721.70
19.37	5705.47
19.40	5879.05
19.43	5739.68
19.47	5744.03
19.50	5793.87
19.53	5751.20
19.57	5766.73
19.60	5783.98
19.63	5635.42
19.67	5629.42
19.70	5615.38
19.73	5677.96
19.77	5686.91
19.80	5714.27
19.83	5739.48
19.87	5758.20
19.90	5782.25
19.93	5946.40
19.97	5979.32
20.00	7880.04
20.03	6736.31
20.07	6136.67
20.10	5734.06
20.13	5639.28
20.17	5483.94
20.20	5413.04
20.23	5461.89
20.27	5477.85
20.30	5610.38
20.33	5702.60
20.37	5728.87
20.40	5797.27
20.43	5794.57
20.47	5877.09
20.50	5885.38
20.53	5816.05
20.57	5885.57
20.60	5767.36
20.63	5911.59
20.67	5764.45
20.70	5782.14
20.73	5796.71
20.77	5812.67
20.80	5887.57
20.83	7483.92
20.87	6571.27
20.90	6167.04
20.93	5976.06
20.97	5858.80
21.00	5709.48
21.03	5648.21
21.07	5634.09
21.10	5551.36
21.13	5488.53
21.17	5476.43
21.20	5444.02
21.23	5588.65
21.27	5598.76
21.30	5658.86
21.33	5666.43
21.37	5657.05
21.40	5649.83
21.43	5692.51
21.47	5738.94
21.50	5679.13
21.53	5600.62
21.57	5578.20
21.60	5581.72
21.63	5575.45
21.67	7255.79
21.70	6304.58
21.73	6065.99
21.77	6045.61
21.80	5941.60
21.83	5952.05
21.87	5879.54
21.90	5876.33
21.93	5756.06
21.97	5770.12
22.00	5819.29
22.03	5698.17
22.07	5730.60
22.10	5613.82
22.13	5567.23
22.17	5649.50
22.20	5663.41
22.23	5699.56
22.27	5682.82
22.30	5674.97
22.33	5702.24
22.37	5672.33
22.40	5658.08
22.43	5659.05
22.47	5600.06
22.50	7267.40
22.53	6105.74
22.57	5875.00
22.60	5836.49
22.63	5760.99
22.67	5802.69
22.70	5785.40
22.73	5779.10
22.77	5784.83
22.80	5607.79
22.83	5671.05
22.87	5608.57
22.90	5616.36
22.93	5526.51
22.97	5510.90
23.00	5525.23
23.03	5495.98
23.07	5485.02
23.10	5622.34
23.13	5612.75
23.17	5656.93
23.20	5698.43
23.23	5770.69
23.27	5698.18
23.30	5686.38
23.33	7211.52
23.37	6163.56
23.40	5752.72
23.43	5573.82
23.47	5493.10
23.50	5500.52
23.53	5541.77
23.57	5541.15
23.60	5557.65
23.63	5609.96
23.67	5596.56
23.70	5601.05
23.73	5549.30
23.77	5633.63
23.80	5523.97
23.83	5587.57
23.87	5600.13
23.90	5481.40
23.93	5570.36
23.97	5558.52
24.00	5625.91
24.03	5706.99
24.07	5724.52
24.10	5698.96
24.13	5769.93
24.17	7300.44
24.20	6288.23
24.23	6001.99
24.27	5746.59
24.30	5757.99
24.33	5675.79
24.37	5607.06
24.40	5631.69
24.43	5608.18
24.47	5650.97
24.50	5684.91
24.53	5728.40
24.57	5794.46
24.60	5816.97
24.63	5759.99
24.67	5671.73
24.70	5657.75
24.73	5578.78
24.77	5526.48
24.80	5511.84
24.83	5457.89
24.87	5536.89
24.90	5501.10
24.93	5614.80
24.97	5609.94
25.00	7212.99
25.03	6320.24
25.07	5863.50
25.10	5759.15
25.13	5753.85
25.17	5576.75
25.20	5511.80
25.23	5440.02
25.27	5389.97
25.30	5416.02
25.33	5409.73
25.37	5443.53
25.40	5525.82
25.43	5441.61
25.47	5561.06
25.50	5581.92
25.53	5521.03
25.57	5462.61
25.60	5486.21
25.63	5409.80
25.67	5401.85
25.70	5362.39
25.73	5323.81
25.77	5344.79
25.80	5434.73
25.83	7032.64
25.87	6043.76
25.90	5836.01
25.93	5779.98
25.97	5723.04
26.00	5643.14
26.03	5654.76
26.07	5682.52
26.10	5585.11
26.13	5634.14
26.17	5527.26
26.20	5571.85
26.23	5644.85
26.27	5632.70
26.30	5787.97
26.33	5912.18
26.37	5909.01
26.40	6068.07
26.43	5964.85
26.47	6000.82
26.50	5992.57
26.53	5800.57
26.57	5748.99
26.60	5666.97
26.63	5649.19
26.67	7386.21
26.70	6216.59
26.73	5969.18
26.77	5958.02
26.80	5821.72
26.83	5924.51
26.87	5906.11
26.90	5849.84
26.93	5939.02
26.97	5866.95
27.00	5767.25
27.03	5707.33
27.07	5659.05
27.10	5618.84
27.13	5635.22
27.17	5547.73
27.20	5665.97
27.23	5725.18
27.27	5785.95
27.30	5838.15
27.33	5896.00
27.37	5916.57
27.40	5864.68
27.43	5827.54
27.47	5829.44
27.50	7630.35
27.53	6164.54
27.57	5761.49
27.60	5495.41
27.63	5400.85
27.67	5470.94
27.70	5397.53
27.73	5509.94
27.77	5666.94
27.80	5674.72
27.83	5744.18
27.87	5666.56
27.90	5722.63
27.93	5736.93
27.97	5700.64
28.00	5702.21
28.03	5729.04
28.07	5741.31
28.10	5845.84
28.13	5903.67
28.17	5945.46
28.20	5943.38
28.23	5995.38
28.27	6005.19
28.30	5965.01
28.33	7453.37
28.37	6345.96
28.40	5955.27
28.43	5693.94
28.47	5614.77
28.50	5610.46
28.53	5586.21
28.57	5687.18
28.60	5733.15
28.63	5700.24
28.67	5918.93
28.70	5803.73
28.73	5807.53
28.77	5799.28
28.80	5764.14
28.83	5713.73
28.87	5610.17
28.90	5546.57
28.93	5562.83
28.97	5468.03
29.00	5523.75
29.03	5578.36
29.07	5648.17
29.10	5700.32
29.13	5737.15
29.17	7456.64
29.20	6508.95
29.23	6130.62
29.27	6022.04
29.30	5947.69
29.33	5876.37
29.37	5699.05
29.40	5765.50
29.43	5714.34
29.47	5695.28
29.50	5818.37
29.53	5800.36
29.57	5843.54
29.60	5863.15
29.63	5975.69
29.67	6001.65
29.70	5885.75
29.73	5930.84
29.77	5875.78
29.80	5831.76
29.83	5856.30
29.87	5767.14
29.90	5686.84
29.93	5675.46
29.97	5714.46
30.00	7381.67
30.03	6409.18
30.07	6081.98
30.10	6083.05
30.13	6031.50
30.17	6002.55
30.20	6009.53
30.23	5966.60
30.27	5962.84
30.30	5884.67
30.33	5827.23
30.37	5858.49
30.40	5820.63
30.43	5833.64
30.47	5954.48
30.50	5943.82
30.53	6043.12
30.57	6095.27
30.60	6155.12
30.63	6062.95
30.67	6029.86
30.70	5963.45
30.73	5897.11
30.77	5980.93
30.80	5948.88
30.83	7336.60
30.87	6478.45
30.90	6132.62
30.93	6152.49
30.97	6098.48
31.00	5981.34
31.03	6019.87
31.07	6068.84
31.10	5969.23
31.13	5970.08
31.17	5927.93
31.20	5821.04
31.23	5735.57
31.27	5771.31
31.30	5805.13
31.33	5775.13
31.37	5855.97
31.40	5910.11
31.43	5913.90
31.47	6007.32
31.50	5970.50
31.53	5983.83
31.57	5936.46
31.60	5857.04
31.63	5870.09
31.67	7311.23
31.70	6380.04
31.73	6107.12
31.77	5906.66
31.80	5775.93
31.83	5828.15
31.87	5930.61
31.90	5923.46
31.93	5975.57
31.97	5900.70
32.00	5827.36
32.03	5894.73
32.07	5768.23
32.10	5805.96
32.13	5716.87
32.17	5594.46
32.20	5597.61
32.23	5518.80
32.27	5662.87
32.30	5723.89
32.33	5743.69
32.37	5786.80
32.40	5795.79
32.43	5905.50
32.47	5815.15
32.50	7343.75
32.53	6256.72
32.57	5972.67
32.60	5724.96
32.63	5631.09
32.67	5584.26
32.70	5592.96
32.73	5563.58
32.77	5658.79
32.80	5695.20
32.83	5765.19
32.87	5906.79
32.90	5865.72
32.93	5800.26
32.97	5789.46
33.00	5740.38
33.03	5762.30
33.07	5651.61
33.10	5588.52
33.13	5595.73
33.17	5552.40
33.20	5602.46
33.23	5651.53
33.27	5682.87
33.30	5724.89
33.33	7331.07
33.37	6408.66
33.40	6137.03
33.43	5837.89
33.47	5861.77
33.50	5684.51
33.53	5622.87
33.57	5665.88
33.60	5640.73
33.63	5697.83
33.67	5679.34
33.70	5757.80
33.73	5852.87
33.77	5843.93
33.80	5868.22
33.83	5908.99
33.87	5814.60
33.90	5718.36
33.93	5711.08
33.97	5744.55
34.00	5759.85
34.03	5617.57
34.07	5603.02
34.10	5606.06
34.13	5722.78
34.17	7352.50
34.20	6406.29
34.23	6158.97
34.27	5916.22
34.30	5900.29
34.33	5798.18
34.37	5809.70
34.40	5815.88
34.43	5609.16
34.47	5626.60
34.50	5691.54
34.53	5758.43
34.57	5803.95
34.60	5769.34
34.63	5807.60
34.67	5877.31
34.70	5884.62
34.73	5886.67
34.77	5853.40
34.80	5751.21
34.83	5745.52
34.87	5659.69
34.90	5686.39
34.93	5706.81
34.97	5588.61
35.00	7669.92
35.03	6392.62
35.07	5925.61
35.10	5715.72
35.13	5591.50
35.17	5508.03
35.20	5527.97
35.23	5553.19
35.27	5577.02
35.30	5595.16
35.33	5528.49
35.37	5574.22
35.40	5538.62
35.43	5508.52
35.47	5697.87
35.50	5732.32
35.53	5807.57
35.57	5776.76
35.60	5783.86
35.63	5835.16
35.67	5796.06
35.70	5729.92
35.73	5718.77
35.77	5726.96
35.80	5699.42
35.83	7181.58
35.87	6130.36
35.90	5802.84
35.93	5646.02
35.97	5530.54
36.00	5519.57
36.03	5491.14
36.07	5464.98
36.10	5558.09
36.13	5480.07
36.17	5491.48
36.20	5467.30
36.23	5413.98
36.27	5508.43
36.30	5361.09
36.33	5444.32
36.37	5499.98
36.40	5460.00
36.43	5616.78
36.47	5607.30
36.50	5593.08
36.53	5697.91
36.57	5627.78
36.60	5666.87
36.63	5641.65
36.67	7059.59
36.70	6122.45
36.73	5749.79
36.77	5719.95
36.80	5739.98
36.83	5689.16
36.87	5781.83
36.90	5870.76
36.93	5842.89
36.97	5784.94
37.00	5768.27
37.03	5693.47
37.07	5675.75
37.10	5646.75
37.13	5574.53
37.17	5566.72
37.20	5486.51
37.23	5472.71
37.27	5587.89
37.30	5583.19
37.33	5649.68
37.37	5672.12
37.40	5610.29
37.43	5638.22
37.47	5553.66
37.50	7004.38
37.53	5910.91
37.57	5630.79
37.60	5603.15
37.63	5510.83
37.67	5400.04
37.70	5461.62
37.73	5479.07
37.77	5681.76
37.80	5707.39
37.83	5690.59
37.87	5706.85
37.90	5704.49
37.93	5752.94
37.97	5638.12
38.00	5527.41
38.03	5539.35
38.07	5436.19
38.10	5487.77
38.13	5464.12
38.17	5479.74
38.20	5553.12
38.23	5506.59
38.27	5641.36
38.30	5691.54
38.33	7360.60
38.37	6371.23
38.40	5998.48
38.43	5824.06
38.47	5704.83
38.50	5623.80
38.53	5649.25
38.57	5577.86
38.60	5474.63
38.63	5559.50
38.67	5582.59
38.70	5655.23
38.73	5687.73
38.77	5798.96
38.80	5723.70
38.83	5756.95
38.87	5778.35
38.90	5690.73
38.93	5670.63
38.97	5671.17
39.00	5657.43
39.03	5632.83
39.07	5620.05
39.10	5676.01
39.13	5763.48
39.17	7399.23
39.20	6502.60
39.23	6207.21
39.27	6027.69
39.30	6088.88
39.33	5885.57
39.37	5883.41
39.40	5911.76
39.43	5733.31
39.47	5733.74
39.50	5766.63
39.53	5541.47
39.57	5605.86
39.60	5611.06
39.63	5700.37
39.67	5846.65
39.70	5750.12
39.73	5765.46
39.77	5680.45
39.80	5636.56
39.83	5658.69
39.87	5502.58
39.90	5527.75
39.93	5582.58
39.97	5478.23
40.00	7259.76
40.03	6291.83
40.07	6054.52
40.10	5951.08
40.13	5801.81
40.17	5900.02
40.20	5908.82
40.23	5740.63
40.27	5681.04
40.30	5622.46
40.33	5530.14
40.37	5551.08
40.40	5593.48
40.43	5569.26
40.47	5577.53
40.50	5521.14
40.53	5611.14
40.57	5677.03
40.60	5776.72
40.63	5812.91
40.67	5721.97
40.70	5668.75
40.73	5704.73
40.77	5615.57
40.80	5607.49
40.83	7123.28
40.87	5992.14
40.90	5759.92
40.93	5596.37
40.97	5542.84
41.00	5631.72
41.03	5622.00
41.07	5792.88
41.10	5764.96
41.13	5750.04
41.17	5811.43
41.20	5865.27
41.23	5848.54
41.27	5733.22
41.30	5754.90
41.33	5609.89
41.37	5666.60
41.40	5701.89
41.43	5613.68
41.47	5694.01
41.50	5695.51
41.53	5635.57
41.57	5736.28
41.60	5690.82
41.63	5701.99
41.67	7384.40
41.70	6067.28
41.73	5958.98
41.77	5711.92
41.80	5589.65
41.83	5718.71
41.87	5689.01
41.90	5748.77
41.93	5891.37
41.97	5799.67
42.00	5818.14
42.03	5822.05
42.07	5719.88
42.10	5776.02
42.13	5738.17
42.17	5676.41
42.20	5571.53
42.23	5531.88
42.27	5534.57
42.30	5602.41
42.33	5533.04
42.37	5521.48
42.40	5509.18
42.43	5575.79
42.47	5628.24
42.50	7623.81
42.53	6205.85
42.57	5813.75
42.60	5492.56
42.63	5365.94
42.67	5261.82
42.70	5240.83
42.73	5262.25
42.77	5314.67
42.80	5418.09
42.83	5447.57
42.87	5528.16
42.90	5580.96
42.93	5748.64
42.97	5712.88
43.00	5766.31
43.03	5699.50
43.07	5683.64
43.10	5794.88
43.13	5592.35
43.17	5611.45
43.20	5667.71
43.23	5572.14
43.27	5681.30
43.30	5728.10
43.33	7274.68
43.37	6385.95
43.40	5978.81
43.43	5834.18
43.47	5725.35
43.50	5676.25
43.53	5606.99
43.57	5535.56
43.60	5552.68
43.63	5575.47
43.67	5403.47
43.70	5385.08
43.73	5480.95
43.77	5515.90
43.80	5633.26
43.83	5665.53
43.87	5674.08
43.90	5668.06
43.93	5746.92
43.97	5732.94
44.00	5719.19
44.03	5693.94
44.07	5635.02
44.10	5486.83
44.13	5510.79
44.17	7222.46
44.20	6155.27
44.23	5843.21
44.27	5901.93
44.30	5846.58
44.33	5932.62
44.37	5892.08
44.40	5771.38
44.43	5795.22
44.47	5834.60
44.50	5647.09
44.53	5642.39
44.57	5639.29
44.60	5583.81
44.63	5652.64
44.67	5590.27
44.70	5577.89
44.73	5724.84
44.77	5717.07
44.80	5726.12
44.83	5692.25
44.87	5669.00
44.90	5713.57
44.93	5702.83
44.97	5666.67
45.00	7104.38
45.03	6138.84
45.07	5905.36
45.10	5779.65
45.13	5704.35
45.17	5703.34
45.20	5689.35
45.23	5710.46
45.27	5814.19
45.30	5731.40
45.33	5770.08
45.37	5664.32
45.40	5598.51
45.43	5577.76
45.47	5595.36
45.50	5522.53
45.53	5590.79
45.57	5534.96
45.60	5556.01
45.63	5637.86
45.67	5617.37
45.70	5736.86
45.73	5720.10
45.77	5629.51
45.80	5620.14
45.83	6883.51
45.87	5965.38
45.90	5685.85
45.93	5480.00
45.97	5399.66
46.00	5328.29
46.03	5446.75
46.07	5513.42
46.10	5571.47
46.13	5558.13
46.17	5519.95
46.20	5583.26
46.23	5604.79
46.27	5521.30
46.30	5528.23
46.33	5479.70
46.37	5462.56
46.40	5457.60
46.43	5462.63
46.47	5519.15
46.50	5555.04
46.53	5605.27
46.57	5694.16
46.60	5735.24
46.63	5675.94
46.67	7190.20
46.70	6358.87
46.73	6007.59
46.77	5777.44
46.80	5791.83
46.83	5628.19
46.87	5611.43
46.90	5558.00
46.93	5513.38
46.97	5569.93
47.00	5608.02
47.03	5611.52
47.07	5641.75
47.10	5673.50
47.13	5778.06
47.17	5737.49
47.20	5835.08
47.23	5746.85
47.27	5572.97
47.30	5543.56
47.33	5506.29
47.37	5468.10
47.40	5485.29
47.43	5526.41
47.47	5603.46
47.50	7233.01
47.53	6266.75
47.57	6102.02
47.60	6017.11
47.63	5991.75
47.67	5996.66
47.70	5881.09
47.73	5871.64
47.77	5797.42
47.80	5743.10
47.83	5885.95
47.87	5693.80
47.90	5719.35
47.93	5837.88
47.97	5968.32
48.00	6062.56
48.03	5983.42
48.07	5941.57
48.10	6046.16
48.13	5986.74
48.17	5949.74
48.20	5982.96
48.23	5859.27
48.27	5756.51
48.30	5831.11
48.33	7573.92
48.37	6311.14
48.40	6066.09
48.43	5962.10
48.47	6085.58
48.50	6092.07
48.53	6082.06
48.57	6168.06
48.60	6082.44
48.63	6068.40
48.67	6047.01
48.70	5885.72
48.73	5888.11
48.77	5896.43
48.80	5850.57
48.83	5905.56
48.87	5786.45
48.90	5929.69
48.93	5990.00
48.97	5938.02
49.00	6015.18
49.03	6001.54
49.07	5973.89
49.10	5955.74
49.13	5818.35
49.17	7451.13
49.20	6137.17
49.23	5877.95
49.27	5841.43
49.30	5776.04
49.33	5800.32
49.37	5841.95
49.40	5788.97
49.43	5893.90
49.47	5859.43
49.50	5932.79
49.53	5923.35
49.57	5892.46
49.60	5804.80
49.63	5774.76
49.67	5754.18
49.70	5702.94
49.73	5711.67
49.77	5707.02
49.80	5763.07
49.83	5847.53
49.87	5891.73
49.90	5944.06
49.93	5904.35
49.97	5941.91
50.00	8016.56
50.03	6391.37
50.07	5950.58
50.10	5739.54
50.13	5566.14
50.17	5536.30
50.20	5571.34
50.23	5555.40
50.27	5592.43
50.30	5696.13
50.33	5826.31
50.37	5905.10
50.40	5848.10
50.43	5976.30
50.47	5970.26
50.50	5942.27
50.53	5941.57
50.57	5857.74
50.60	5853.58
50.63	5763.86
50.67	5693.45
50.70	5838.48
50.73	5834.71
50.77	5947.79
50.80	6048.59
50.83	7433.07
50.87	6365.98
50.90	5963.43
50.93	5720.64
50.97	5629.47
51.00	5637.33
51.03	5583.88
51.07	5445.24
51.10	5428.77
51.13	5397.74
51.17	5487.51
51.20	5580.13
51.23	5478.72
51.27	5582.50
51.30	5629.70
51.33	5681.59
51.37	5755.71
51.40	5779.90
51.43	5751.44
51.47	5651.41
51.50	5556.68
51.53	5667.81
51.57	5606.97
51.60	5591.63
51.63	5687.33
51.67	7149.23
51.70	6294.56
51.73	6079.55
51.77	5985.27
51.80	6022.96
51.83	5919.57
51.87	6046.76
51.90	6069.69
51.93	5958.29
51.97	5898.07
52.00	5789.56
52.03	5757.95
52.07	5777.44
52.10	5831.56
52.13	5922.10
52.17	5873.03
52.20	5935.91
52.23	6057.08
52.27	6085.17
52.30	6073.55
52.33	6047.78
52.37	5977.46
52.40	5948.07
52.43	5943.52
52.47	6023.63
52.50	7458.93
52.53	6225.68
52.57	5940.26
52.60	5944.93
52.63	6047.77
52.67	6119.98
52.70	6142.63
52.73	6084.17
52.77	6093.68
52.80	6236.73
52.83	6152.44
52.87	6135.84
52.90	6006.01
52.93	5986.27
52.97	5970.08
53.00	5961.22
53.03	6018.33
53.07	5914.76
53.10	5908.42
53.13	6036.77
53.17	6081.52
53.20	6070.26
53.23	6142.95
53.27	6064.67
53.30	6038.28
53.33	7538.46
53.37	6408.45
53.40	6111.83
53.43	5952.15
53.47	5777.11
53.50	5863.36
53.53	5885.85
53.57	5869.63
53.60	6037.72
53.63	6023.00
53.67	6121.84
53.70	6044.89
53.73	5986.25
53.77	6094.03
53.80	6073.99
53.83	6008.07
53.87	5928.64
53.90	5856.21
53.93	5794.02
53.97	5768.30
54.00	5844.76
54.03	5837.34
54.07	5909.07
54.10	5916.57
54.13	5980.49
54.17	7522.68
54.20	6450.38
54.23	6168.39
54.27	6036.06
54.30	5925.19
54.33	5899.89
54.37	5816.27
54.40	5824.16
54.43	5777.00
54.47	5761.27
54.50	5952.80
54.53	5862.16
54.57	5976.22
54.60	5996.44
54.63	6004.26
54.67	6030.19
54.70	5980.23
54.73	6043.39
54.77	6000.68
54.80	5939.09
54.83	5992.31
54.87	5961.21
54.90	5896.78
54.93	5914.20
54.97	5906.21
55.00	7670.34
55.03	6540.42
55.07	6222.15
55.10	6132.82
55.13	6099.09
55.17	6065.53
55.20	5969.02
55.23	6024.42
55.27	5955.07
55.30	5879.19
55.33	5896.75
55.37	5911.55
55.40	5896.11
55.43	5982.53
55.47	5994.92
55.50	6064.09
55.53	5969.50
55.57	6053.74
55.60	6015.75
55.63	5901.25
55.67	5841.60
55.70	5807.63
55.73	5848.51
55.77	5794.08
55.80	5716.15
55.83	7334.76
55.87	6365.01
